Date,Open,High,Low,Close,Adj Close,Volume
2010-12-17,124.080002,124.459999,123.820000,124.300003,100.524971,141075300
2010-12-20,124.639999,124.900002,123.980003,124.599998,100.767601,119085500
2010-12-21,124.989998,125.470001,124.870003,125.389999,101.406487,94965500
2010-12-22,125.480003,125.820000,125.410004,125.779999,101.721909,78878100
2010-12-23,125.639999,125.779999,125.290001,125.599998,101.576309,70053700
2010-12-27,125.129997,125.769997,125.040001,125.650002,101.616753,58126000
2010-12-28,125.900002,125.949997,125.500000,125.830002,101.762337,55309100
2010-12-29,125.980003,126.199997,125.900002,125.919998,101.835129,58033100
2010-12-30,125.800003,126.129997,125.529999,125.720001,101.673370,76616900
2010-12-31,125.529999,125.870003,125.330002,125.750000,101.697632,91218900
2011-01-03,126.709999,127.599998,125.699997,127.050003,102.748993,138725200
2011-01-04,127.330002,127.370003,126.190002,126.980003,102.692398,137409700
2011-01-05,126.580002,127.720001,126.459999,127.639999,103.226135,133975300
2011-01-06,127.690002,127.830002,127.010002,127.389999,103.023941,122519000
2011-01-07,127.559998,127.769997,126.150002,127.139999,102.821777,156034600
2011-01-10,126.580002,127.160004,126.199997,126.980003,102.692398,122401700
2011-01-11,127.440002,127.739998,126.949997,127.430000,103.056297,110287000
2011-01-12,128.210007,128.720001,127.459999,128.580002,103.986320,107929200
2011-01-13,128.630005,128.690002,128.050003,128.369995,103.816475,129048400
2011-01-14,128.190002,129.330002,128.100006,129.300003,104.568634,117677900
2011-01-18,129.179993,129.639999,129.029999,129.520004,104.746529,114401300
2011-01-19,129.410004,129.539993,127.910004,128.250000,103.719475,151958400
2011-01-20,127.959999,128.399994,127.129997,128.080002,103.581978,175745700
2011-01-21,128.880005,129.169998,128.229996,128.369995,103.816475,151462900
2011-01-24,128.289993,129.250000,128.259995,129.100006,104.406921,113715500
2011-01-25,128.759995,129.279999,128.110001,129.169998,104.463501,167552200
2011-01-26,129.490005,130.050003,129.229996,129.669998,104.867844,141281500
